AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 19 [ -191, 95, 1, 63, 61, -32, -28, 1, -1, 65, -30, -3 ]
MONO 20 [ -191, 95, 1, 63, 64, -32, -32, 1, 0, 60, -26, -2 ]
MONO 21 [ -191, 95, 1, 63, 65, -32, -30, 1, -1, 61, -28, -3 ]
MONO 22 [ -191, 95, 1, 64, 61, -32, -28, 0, -1, 62, -30, 0 ]
MONO 23 [ -191, 96, 0, 62, 62, -30, -27, 0, -1, 61, -28, -3 ]
MONO 24 [ -191, 96, 0, 62, 63, -30, -32, 0, 1, 62, -29, -1 ]
MONO 25 [ -191, 96, 0, 62, 63, -28, -31, 0, 0, 62, -30, -2 ]
MONO 26 [ -191, 96, 0, 63, 62, -32, -32, 1, 2, 66, -31, -3 ]
MONO 27 [ -191, 96, 0, 63, 62, -31, -30, 0, 0, 66, -32, -2 ]
MONO 28 [ -191, 96, 0, 63, 64, -32, -33, 1, 1, 60, -24, -4 ]
MONO 29 [ -191, 96, 0, 63, 66, -32, -34, 1, 2, 62, -29, -3 ]
MONO 30 [ -191, 96, 0, 63, 66, -31, -32, 0, 0, 62, -30, -2 ]
MONO 31 [ -191, 96, 0, 64, 63, -32, -32, 0, 1, 64, -31, -1 ]
MONO 32 [ -191, 97, -1, 62, 63, -30, -32, 2, 1, 62, -30, -2 ]
MONO 33 [ -191, 97, -1, 62, 63, -30, -31, 0, 2, 62, -29, -3 ]
MONO 34 [ -191, 97, -1, 65, 63, -33, -31, 2, 0, 61, -28, -3 ]
MONO 35 [ -191, 98, 0, 62, 63, -30, -31, 0, 0, 62, -30, -2 ]
MONO 36 [ -190, 94, 1, 60, 62, -25, -31, -1, 1, 62, -29, -3 ]
MONO 37 [ -190, 95, 0, 60, 62, -26, -30, 0, 0, 62, -30, -2 ]
MONO 38 [ -190, 95, 0, 62, 62, -30, -31, 0, 1, 64, -31, -1 ]
MONO 39 [ -190, 95, 0, 62, 62, -29, -29, -1, -1, 64, -32, 0 ]
MONO 40 [ -190, 95, 0, 62, 63, -30, -31, 0, 0, 65, -31, -2 ]
MONO 41 [ -190, 95, 0, 62, 67, -30, -33, 0, 0, 61, -29, -2 ]
MONO 42 [ -190, 95, 0, 63, 62, -31, -30, 0, 0, 61, -27, -2 ]
MONO 43 [ -190, 95, 0, 63, 63, -32, -32, 1, 1, 62, -26, -4 ]
MONO 44 [ -190, 95, 0, 63, 63, -32, -31, 3, 0, 62, -29, -3 ]
MONO 45 [ -190, 95, 0, 64, 64, -32, -32, 0, 0, 60, -26, -2 ]
MONO 46 [ -190, 96, -1, 63, 63, -34, -32, 5, 1, 62, -29, -3 ]
MONO 47 [ -190, 99, -2, 63, 63, -32, -32, 1, 1, 62, -30, -2 ]
MONO 48 [ -189, 93, 1, 58, 62, -20, -31, -4, 1, 63, -31, -2 ]
MONO 49 [ -188, 94, 1, 62, 62, -31, -30, 1, 0, 62, -30, -2 ]
MONO 50 [ -188, 98, -2, 62, 62, -31, -31, 0, 0, 62, -31, 0 ]
MONO 51 [ -187, 94, 0, 63, 62, -32, -32, 1, 2, 62, -29, -3 ]
MONO 52 [ -187, 94, 0, 63, 62, -31, -30, 0, 0, 62, -30, -2 ]
MONO 53 [ -186, 93, 0, 61, 61, -29, -29, 0, 0, 62, -30, -2 ]
MONO 54 [ -186, 93, 1, 62, 61, -31, -32, 0, 2, 59, -23, -5 ]
MONO 55 [ -186, 94, -1, 61, 61, -32, -32, 3, 3, 62, -29, -3 ]
MONO 56 [ -186, 94, 0, 61, 61, -30, -30, 0, 0, 62, -29, -2 ]
MONO 57 [ -186, 94, 0, 62, 60, -31, -29, 0, 0, 58, -25, -2 ]
MONO 58 [ -186, 94, 0, 62, 61, -32, -30, 3, 0, 59, -27, -3 ]
MONO 59 [ -186, 95, -1, 60, 57, -29, -20, 0, -4, 61, -31, -1 ]
MONO 60 [ -186, 95, -1, 60, 61, -29, -30, 0, 0, 57, -21, -5 ]
MONO 61 [ -186, 95, -1, 61, 59, -31, -24, 1, -2, 60, -29, -2 ]
MONO 62 [ -186, 95, -1, 61, 60, -31, -29, 1, 0, 61, -30, 0 ]
MONO 63 [ -185, 91, 2, 59, 59, -26, -27, -2, -1, 61, -31, 1 ]
MONO 64 [ -185, 92, 0, 59, 59, -27, -28, 0, 1, 61, -30, -1 ]
MONO 65 [ -185, 92, 0, 59, 60, -27, -28, 0, 0, 62, -30, -2 ]
MONO 66 [ -185, 92, 0, 61, 57, -31, -22, 2, -3, 61, -28, -3 ]
MONO 67 [ -185, 92, 1, 59, 59, -24, -27, -2, -1, 61, -30, -2 ]
MONO 68 [ -185, 92, 1, 60, 60, -28, -29, -1, 0, 59, -24, -4 ]
MONO 69 [ -185, 92, 1, 60, 61, -31, -30, 4, 0, 60, -28, -3 ]
MONO 70 [ -185, 92, 1, 60, 61, -29, -32, 0, 4, 60, -28, -3 ]
MONO 71 [ -185, 92, 1, 60, 61, -29, -30, 0, 0, 60, -30, 1 ]
