AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
MONO 132 [ 0, 0, 1, 1, 0, -1, 1, 0, 0, 0, -1, -1, 0, -1, 2, -2, -1, 2, 2, 3, 1, 3, 5, -13 ]
MONO 133 [ 0, 0, 1, 1, 1, -1, 0, 0, 2, 0, -1, -1, 0, 0, -1, -1, -3, 4, -3, 5, 0,8, 15, -25 ]
MONO 134 [ 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, -2, 2, -1, 3, 0, 4, 10, -15 ]
MONO 135 [ 0, 1, 0, 1, 0, -1, 0, 0, 1, -1, 1, -1, 0, 0, -2, 0, 0, 5, -3, 4, -1, 8, 13, -24 ]
MONO 136 [ 0, 1, 0, 1, 0, -1, 2, 3, 1, -1, 0, -3, -1, -1, -4, -1, 0, 7, -3, 4, 0, 9, 12, -24 ]
MONO 137 [ 0, 1, 0, 1, 0, 0, 0, 0, -1, -1, 1, -1, 0, 0, -1, 0, 1, 3, -1, 2, -1, 4, 8, -14 ]
MONO 138 [ 0, 1, 0, 1, 0, 0, 2, 3, -1, -1, 0, -3, -1, -1, -3, -1, 1, 5, -1, 2, 0, 5, 7, -14 ]
MONO 139 [ 0, 1, 0, 1, 1, -1, 0, -1, 2, 1, -1, 0, 0, -1, 0, 0, -3, 3, -6, 5, 0, 11, 14, -25 ]
MONO 140 [ 0, 1, 0, 1, 1, 0, 0, -1, 0, 1, -1, 0, 0, -1, 1, 0, -2, 1, -4, 3, 0, 7, 9, -15 ]
MONO 141 [ 0, 1, 0, 1, 2, -1, 0, -1, 1, 2, -1, -1, -1, -2, -1, 0, 0, 5, -5, 4, 0, 10, 12, -24 ]
MONO 142 [ 0, 1, 0, 1, 2, 0, 0, -1, -1, 2, -1, -1, -1, -2, 0, 0, 1, 3, -3, 2, 0,6, 7, -14 ]
MONO 143 [ 0, 1, 0, 2, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, -2, 0, -2, 4, -5, 5, -1,11, 14, -25 ]
MONO 144 [ 0, 1, 0, 2, 0, -1, 0, 1, 1, 0, 0, -2, 0, -1, -2, -1, -2, 5, -3, 5, 1,10, 11, -24 ]
MONO 145 [ 0, 1, 0, 2, 0, 0, 0, 0, -1, 0, 1, -1, 0, -1, -1, 0, -1, 2, -3, 3, -1,7, 9, -15 ]
MONO 146 [ 0, 1, 0, 2, 0, 0, 0, 1, -1, 0, 0, -2, 0, -1, -1, -1, -1, 3, -1, 3, 1,6, 6, -14 ]
MONO 147 [ 0, 1, 1, -1, -1, -2, 0, 3, 3, 2, 0, -1, 0, -1, -3, 0, -3, 5, -5, 5, 0, 10, 12, -24 ]
MONO 148 [ 0, 1, 1, -1, -1, -1, -1, 1, 2, 3, 0, 2, 1, -1, -2, 1, -4, 3, -5, 5, -1, 8, 14, -24 ]
MONO 149 [ 0, 1, 1, -1, -1, -1, 0, 3, 1, 2, 0, -1, 0, -1, -2, 0, -2, 3, -3, 3, 0, 6, 7, -14 ]
MONO 150 [ 0, 1, 1, -1, -1, 0, -1, 1, 0, 3, 0, 2, 1, -1, -1, 1, -3, 1, -3, 3, -1, 4, 9, -14 ]
MONO 151 [ 0, 1, 1, -1, 0, -3, 0, -1, 4, 0, 0, 1, -1, 0, 1, 0, 1, 2, -3, 3, 0, 8, 11, -23 ]
MONO 152 [ 0, 1, 1, -1, 0, -3, 0, 0, 4, 2, -1, 0, -1, -1, 1, -1, -1, 3, -3, 4, 2, 8, 10, -23 ]
MONO 153 [ 0, 1, 1, -1, 0, -2, 0, -1, 2, 0, 0, 1, -1, 0, 2, 0, 2, 0, -1, 1, 0, 4, 6, -13 ]
MONO 154 [ 0, 1, 1, -1, 0, -2, 0, 0, 2, 2, -1, 0, -1, -1, 2, -1, 0, 1, -1, 2, 2,4, 5, -13 ]
MONO 155 [ 0, 2, -1, -1, 2, 0, -2, -2, 2, 5, 0, 0, 1, -2, 0, 0, -4, 3, -3, 5, 0,8, 11, -23 ]
MONO 156 [ 0, 2, -1, -1, 2, 1, -2, -2, 0, 5, 0, 0, 1, -2, 1, 0, -3, 1, -1, 3, 0,4, 6, -13 ]
MONO 157 [ 1, -4, -3, 4, 0, 7, -1, 0, -2, 2, 0, 0, 2, -2, -2, 2, -5, 4, -7, 6, -3, 10, 18, -26 ]
MONO 158 [ 1, -4, -3, 4, 0, 8, -1, 0, -4, 2, 0, 0, 2, -2, -1, 2, -4, 2, -5, 4, -3, 6, 13, -16 ]
MONO 159 [ 1, -4, -2, 4, -2, 4, -1, 5, -1, 4, 2, -3, 1, -3, -4, 0, -5, 5, -5, 7,1, 9, 12, -24 ]
MONO 160 [ 1, -4, -2, 4, -2, 5, -1, 5, -3, 4, 2, -3, 1, -3, -3, 0, -4, 3, -3, 5,1, 5, 7, -14 ]
MONO 161 [ 1, -4, -1, 4, -2, 2, -3, 5, 0, 7, 0, -2, 2, -4, -2, 2, -5, 4, -7, 6, -1, 10, 13, -24 ]
MONO 162 [ 1, -4, -1, 4, -2, 2, -1, 5, 0, 6, 0, -2, 0, -4, -2, 0, -4, 4, -6, 6, 1, 10, 12, -24 ]
MONO 163 [ 1, -4, -1, 4, -2, 3, -3, 5, -2, 7, 0, -2, 2, -4, -1, 2, -4, 2, -5, 4,-1, 6, 8, -14 ]
